Year,Round,Team1,Score1,Seed1,Team2,Score2,Seed2
2002,4,Maryland,90,1,Connecticut,82,2
2002,4,Kansas,104,1,Oregon,86,2
2002,5,Indiana,73,5,Oklahoma,64,2
2002,5,Maryland,97,1,Kansas,88,1
2002,6,Indiana,52,5,Maryland,64,1
2003,1,Kentucky,95,1,IUPUI,64,16
2003,1,Pittsburgh,87,2,Wagner,61,15
2003,1,Marquette,72,3,Holy Cross,68,14
2003,1,Dayton,71,4,Tulsa,84,13
2003,1,Wisconsin,81,5,Weber St,74,12
2003,1,Missouri,72,6,Southern Illinois,71,11
2003,1,Indiana,67,7,Alabama,62,10
2003,1,Oregon,58,8,Utah,60,9
2003,1,Arizona,80,1,Vermont,51,16
2003,1,Kansas,64,2,Utah St,61,15
2003,1,Duke,67,3,Colorado St,57,14
2003,1,Illinois,65,4,Western Kentucky,60,13
2003,1,Notre Dame,70,5,Wisconsin Milwaukee,69,12
2003,1,Creighton,73,6,Central Michigan,79,11
2003,1,Memphis,71,7,Arizona St,84,10
2003,1,Cincinnati,69,8,Gonzaga,74,9
2003,1,Texas,82,1,UNC Asheville,61,16
2003,1,Florida,85,2,Sam Houston St,55,15
2003,1,Xavier,71,3,Troy,59,14
2003,1,Stanford,77,4,San Diego,69,13
2003,1,Connecticut,58,5,BYU,53,12
2003,1,Maryland,75,6,UNC Wilmington,73,11
2003,1,Michigan St,79,7,Colorado,64,10
2003,1,LSU,56,8,Purdue,80,9
2003,1,Oklahoma,71,1,South Carolina St,54,16
2003,1,Wake Forest,76,2,East Tennessee St,73,15
2003,1,Syracuse,76,3,Manhattan,65,14
2003,1,Louisville,86,4,Austin Peay,64,13
2003,1,Mississippi St,46,5,Butler,47,12
2003,1,Oklahoma St,77,6,Pennsylvania,63,11
2003,1,St Josephs,63,7,Auburn,65,10
2003,1,California,76,8,NC State,74,9
2003,2,Kentucky,74,1,Utah,54,9
2003,2,Pittsburgh,74,2,Indiana,52,7
2003,2,Marquette,101,3,Missouri,92,6
2003,2,Tulsa,60,13,Wisconsin,61,5
2003,2,Arizona,96,1,Gonzaga,95,9
2003,2,Kansas,108,2,Arizona St,76,10
2003,2,Duke,86,3,Central Michigan,60,11
2003,2,Illinois,60,4,Notre Dame,68,5
2003,2,Texas,77,1,Purdue,67,9
2003,2,Florida,46,2,Michigan St,68,7
2003,2,Xavier,64,3,Maryland,77,6
2003,2,Stanford,74,4,Connecticut,85,5
2003,2,Oklahoma,74,1,California,65,8
2003,2,Wake Forest,62,2,Auburn,68,10
2003,2,Syracuse,68,3,Oklahoma St,56,6
2003,2,Louisville,71,4,Butler,79,12
2003,3,Kentucky,63,1,Wisconsin,57,5
2003,3,Pittsburgh,74,2,Marquette,77,3
2003,3,Arizona,88,1,Notre Dame,71,5
2003,3,Kansas,69,2,Duke,65,3
2003,3,Texas,82,1,Connecticut,78,5
2003,3,Michigan St,60,7,Maryland,58,6
2003,3,Oklahoma,65,1,Butler,54,12
2003,3,Auburn,78,10,Syracuse,79,3
2003,4,Kentucky,69,1,Marquette,83,3
2003,4,Arizona,75,1,Kansas,78,2
2003,4,Texas,85,1,Michigan St,76,7
2003,4,Oklahoma,47,1,Syracuse,63,3
2003,5,Marquette,61,3,Kansas,94,2
2003,5,Texas,84,1,Syracuse,95,3
2003,6,Kansas,78,2,Syracuse,81,3
2004,1,Kentucky,96,1,Florida A&M,76,16
2004,1,Gonzaga,76,2,Valparaiso,49,15
2004,1,Georgia Tech,65,3,Northern Iowa,60,14
2004,1,Kansas,78,4,Illinois Chicago,53,13
2004,1,Providence,58,5,Pacific,66,12
2004,1,Boston College,58,6,Utah,51,11
2004,1,Michigan St,66,7,Nevada,72,10
2004,1,Washington,100,8,UAB,102,9
2004,1,St Josephs,82,1,Liberty,63,16
2004,1,Oklahoma St,75,2,Eastern Washington,56,15
2004,1,Pittsburgh,53,3,Central Florida,44,14
2004,1,Wake Forest,79,4,VCU,78,13
2004,1,Florida,60,5,Manhattan,75,12
2004,1,Wisconsin,76,6,Richmond,64,11
2004,1,Memphis,59,7,South Carolina,43,10
2004,1,Texas Tech,76,8,Charlotte,73,9
2004,1,Duke,96,1,Alabama St,61,16
2004,1,Mississippi St,85,2,Monmouth,52,15
2004,1,Texas,66,3,Princeton,49,14
2004,1,Cincinnati,80,4,East Tennessee St,77,13
2004,1,Illinois,72,5,Murray St,53,12
2004,1,North Carolina,63,6,Air Force,52,11
2004,1,Xavier,80,7,Louisville,70,10
2004,1,Seton Hall,80,8,Arizona,76,9
2004,1,Stanford,71,1,Texas San Antonio,45,16
2004,1,Connecticut,70,2,Vermont,53,15
2004,1,NC State,61,3,Louisiana Lafayette,52,14
2004,1,Maryland,86,4,UTEP,83,13
2004,1,Syracuse,80,5,BYU,75,12
2004,1,Vanderbilt,71,6,Western Michigan,58,11
2004,1,DePaul,76,7,Dayton,69,10
2004,1,Alabama,65,8,Southern Illinois,64,9
2004,2,Kentucky,75,1,UAB,76,9
2004,2,Gonzaga,72,2,Nevada,91,10
2004,2,Georgia Tech,57,3,Boston College,54,6
2004,2,Kansas,78,4,Pacific,63,12
2004,2,St Josephs,70,1,Texas Tech,65,8
2004,2,Oklahoma St,70,2,Memphis,53,7
2004,2,Pittsburgh,59,3,Wisconsin,55,6
2004,2,Wake Forest,84,4,Manhattan,80,12
2004,2,Duke,90,1,Seton Hall,62,8
2004,2,Mississippi St,74,2,Xavier,89,7
2004,2,Texas,78,3,North Carolina,75,6
2004,2,Cincinnati,68,4,Illinois,92,5
2004,2,Stanford,67,1,Alabama,70,8
2004,2,Connecticut,72,2,DePaul,55,7
2004,2,NC State,73,3,Vanderbilt,75,6
2004,2,Maryland,70,4,Syracuse,72,5
2004,3,UAB,74,9,Kansas,100,4
2004,3,Nevada,67,10,Georgia Tech,72,3
2004,3,St Josephs,84,1,Wake Forest,80,4
2004,3,Oklahoma St,63,2,Pittsburgh,51,3
2004,3,Duke,72,1,Illinois,62,5
2004,3,Xavier,79,7,Texas,71,3
2004,3,Alabama,80,8,Syracuse,71,5
2004,3,Connecticut,73,2,Vanderbilt,53,6
2004,4,Kansas,71,4,Georgia Tech,79,3
2004,4,St Josephs,62,1,Oklahoma St,64,2
2004,4,Duke,66,1,Xavier,63,7
2004,4,Alabama,71,8,Connecticut,87,2
2004,5,Georgia Tech,67,3,Oklahoma St,65,2
2004,5,Duke,78,1,Connecticut,79,2
2004,6,Georgia Tech,73,3,Connecticut,82,2
2005,1,Illinois,67,1,Fairleigh Dickinson,55,16
2005,1,Oklahoma St,63,2,Southeastern Louisiana,50,15
2005,1,Arizona,66,3,Utah St,53,14
2005,1,Boston College,85,4,Pennsylvania,65,13
2005,1,Alabama,73,5,Wisconsin Milwaukee,83,12
2005,1,LSU,68,6,UAB,82,11
2005,1,Southern Illinois,65,7,St Marys,56,10
2005,1,Texas,57,8,Nevada,61,9
2005,1,Washington,88,1,Montana,77,16
2005,1,Wake Forest,70,2,Chattanooga,54,15
2005,1,Gonzaga,74,3,Winthrop,64,14
2005,1,Louisville,68,4,Louisiana Lafayette,62,13
2005,1,Georgia Tech,80,5,George Washington,68,12
2005,1,Texas Tech,78,6,UCLA,66,11
2005,1,West Virginia,63,7,Creighton,61,10
2005,1,Pacific,79,8,Pittsburgh,71,9
2005,1,North Carolina,96,1,Oakland,68,16
2005,1,Connecticut,77,2,Central Florida,71,15
2005,1,Kansas,63,3,Bucknell,64,14
2005,1,Florida,67,4,Ohio,62,13
2005,1,Villanova,55,5,New Mexico,47,12
2005,1,Wisconsin,57,6,Northern Iowa,52,11
2005,1,Charlotte,63,7,NC State,75,10
2005,1,Minnesota,53,8,Iowa St,64,9
2005,1,Duke,63,1,Delaware St,46,16
2005,1,Kentucky,72,2,Eastern Kentucky,64,15
2005,1,Oklahoma,84,3,Niagara,67,14
2005,1,Syracuse,57,4,Vermont,60,13
2005,1,Michigan St,89,5,Old Dominion,81,12
2005,1,Utah,60,6,UTEP,54,11
2005,1,Cincinnati,76,7,Iowa,64,10
2005,1,Stanford,70,8,Mississippi St,93,9
2005,2,Illinois,71,1,Nevada,59,9
2005,2,Oklahoma St,85,2,Southern Illinois,77,7
2005,2,Arizona,85,3,UAB,63,11
2005,2,Boston College,75,4,Wisconsin Milwaukee,83,12
2005,2,Washington,97,1,Pacific,79,8
2005,2,Wake Forest,105,2,West Virginia,111,7
2005,2,Gonzaga,69,3,Texas Tech,71,6
2005,2,Louisville,76,4,Georgia Tech,54,5
2005,2,North Carolina,92,1,Iowa St,65,9
2005,2,Connecticut,62,2,NC State,65,10
2005,2,Bucknell,62,14,Wisconsin,71,6
2005,2,Florida,65,4,Villanova,76,5
2005,2,Duke,63,1,Mississippi St,55,9
2005,2,Kentucky,69,2,Cincinnati,60,7
2005,2,Oklahoma,58,3,Utah,67,6
2005,2,Vermont,61,13,Michigan St,72,5
2005,3,Illinois,77,1,Wisconsin Milwaukee,63,12
2005,3,Oklahoma St,78,2,Arizona,79,3
2005,3,Washington,79,1,Louisville,93,4
2005,3,West Virginia,65,7,Texas Tech,60,6
2005,3,North Carolina,67,1,Villanova,66,5
2005,3,NC State,56,10,Wisconsin,65,6
2005,3,Duke,68,1,Michigan St,78,5
2005,3,Kentucky,62,2,Utah,52,6
2005,4,Illinois,90,1,Arizona,89,3
2005,4,Louisville,93,4,West Virginia,85,7
2005,4,North Carolina,88,1,Wisconsin,82,6
2005,4,Michigan St,94,5,Kentucky,88,2
2005,5,Illinois,72,1,Louisville,57,4
2005,5,North Carolina,87,1,Michigan St,71,5
2005,6,Illinois,70,1,North Carolina,75,1
2006,1,Duke,70,1,Southern,54,16
2006,1,Texas,60,2,Pennsylvania,52,15
2006,1,Iowa,63,3,Northwestern St,64,14
2006,1,LSU,80,4,Iona,64,13
2006,1,Syracuse,58,5,Texas A&M,66,12
2006,1,West Virginia,64,6,Southern Illinois,46,11
2006,1,California,52,7,NC State,58,10
2006,1,George Washington,88,8,UNC Wilmington,85,9
2006,1,Memphis,94,1,Oral Roberts,78,16
2006,1,UCLA,78,2,Belmont,44,15
2006,1,Gonzaga,79,3,Xavier,75,14
2006,1,Kansas,73,4,Bradley,77,13
2006,1,Pittsburgh,79,5,Kent St,64,12
2006,1,Indiana,87,6,San Diego St,83,11
2006,1,Marquette,85,7,Alabama,90,10
2006,1,Arkansas,55,8,Bucknell,59,9
2006,1,Connecticut,72,1,Albany,59,16
2006,1,Tennessee,63,2,Winthrop,61,15
2006,1,North Carolina,69,3,Murray St,65,14
2006,1,Illinois,78,4,Air Force,69,13
2006,1,Washington,75,5,Utah St,61,12
2006,1,Michigan St,65,6,George Mason,75,11
2006,1,Wichita St,86,7,Seton Hall,66,10
2006,1,Kentucky,69,8,UAB,64,9
2006,1,Villanova,58,1,Monmouth,45,16
2006,1,Ohio St,70,2,Davidson,62,15
2006,1,Florida,76,3,South Alabama,50,14
2006,1,Boston College,88,4,Pacific,76,13
2006,1,Nevada,79,5,Montana,87,12
2006,1,Oklahoma,74,6,Wisconsin Milwaukee,82,11
2006,1,Georgetown,54,7,Northern Iowa,49,10
2006,1,Arizona,94,8,Wisconsin,75,9
2006,2,Duke,74,1,George Washington,61,8
2006,2,Texas,75,2,NC State,54,10
2006,2,Northwestern St,54,14,West Virginia,67,6
2006,2,LSU,58,4,Texas A&M,57,12
2006,2,Memphis,72,1,Bucknell,56,9
2006,2,UCLA,62,2,Alabama,59,10
2006,2,Gonzaga,90,3,Indiana,80,6
2006,2,Bradley,72,13,Pittsburgh,66,5
2006,2,Connecticut,87,1,Kentucky,83,8
2006,2,Tennessee,73,2,Wichita St,80,7
2006,2,North Carolina,60,3,George Mason,65,11
2006,2,Illinois,64,4,Washington,67,5
2006,2,Villanova,82,1,Arizona,78,8
2006,2,Ohio St,52,2,Georgetown,70,7
2006,2,Florida,82,3,Wisconsin Milwaukee,60,11
2006,2,Boston College,69,4,Montana,56,12
2006,3,Duke,54,1,LSU,62,4
2006,3,Texas,74,2,West Virginia,71,6
2006,3,Memphis,80,1,Bradley,64,13
2006,3,UCLA,73,2,Gonzaga,71,3
2006,3,Connecticut,98,1,Washington,92,5
2006,3,Wichita St,55,7,George Mason,63,11
2006,3,Villanova,60,1,Boston College,59,4
2006,3,Georgetown,53,7,Florida,57,3
2006,4,LSU,70,4,Texas,60,2
2006,4,Memphis,45,1,UCLA,50,2
2006,4,Connecticut,84,1,George Mason,86,11
2006,4,Villanova,62,1,Florida,75,3
2006,5,LSU,45,4,UCLA,59,2
2006,5,George Mason,58,11,Florida,73,3
2006,6,UCLA,57,2,Florida,73,3
2007,1,Florida,112,1,Jackson St,69,16
2007,1,Wisconsin,76,2,Texas A&M Corpus Christi,63,15
2007,1,Oregon,58,3,Miami Ohio,56,14
2007,1,Maryland,82,4,Davidson,70,13
2007,1,Butler,57,5,Old Dominion,46,12
2007,1,Notre Dame,64,6,Winthrop,74,11
2007,1,UNLV,67,7,Georgia Tech,63,10
2007,1,Arizona,63,8,Purdue,72,9
2007,1,Kansas,107,1,Niagara,67,16
2007,1,UCLA,70,2,Weber St,42,15
2007,1,Pittsburgh,79,3,Wright St,58,14
2007,1,Southern Illinois,61,4,Holy Cross,51,13
2007,1,Virginia Tech,54,5,Illinois,52,12
2007,1,Duke,77,6,VCU,79,11
2007,1,Indiana,70,7,Gonzaga,57,10
2007,1,Kentucky,67,8,Villanova,58,9
2007,1,North Carolina,85,1,Eastern Kentucky,65,16
2007,1,Georgetown,80,2,Belmont,55,15
2007,1,Washington St,70,3,Oral Roberts,54,14
2007,1,Texas,79,4,New Mexico St,67,13
2007,1,USC,77,5,Arkansas,60,12
2007,1,Vanderbilt,77,6,George Washington,44,11
2007,1,Boston College,84,7,Texas Tech,75,10
2007,1,Marquette,49,8,Michigan St,61,9
2007,1,Ohio St,78,1,Central Connecticut St,57,16
2007,1,Memphis,73,2,North Texas,58,15
2007,1,Texas A&M,68,3,Pennsylvania,52,14
2007,1,Virginia,84,4,Albany,57,13
2007,1,Tennessee,121,5,Long Beach St,86,12
2007,1,Louisville,78,6,Stanford,58,11
2007,1,Nevada,77,7,Creighton,71,10
2007,1,BYU,77,8,Xavier,79,9
2007,2,Florida,74,1,Purdue,67,9
2007,2,Wisconsin,68,2,UNLV,74,7
2007,2,Oregon,75,3,Winthrop,61,11
2007,2,Maryland,59,4,Butler,62,5
2007,2,Kansas,88,1,Kentucky,76,8
2007,2,UCLA,54,2,Indiana,49,7
2007,2,Pittsburgh,84,3,VCU,79,11
2007,2,Southern Illinois,63,4,Virginia Tech,48,5
2007,2,North Carolina,81,1,Michigan St,67,9
2007,2,Georgetown,62,2,Boston College,55,7
2007,2,Washington St,74,3,Vanderbilt,78,6
2007,2,Texas,68,4,USC,87,5
2007,2,Ohio St,78,1,Xavier,71,9
2007,2,Memphis,78,2,Nevada,62,7
2007,2,Texas A&M,72,3,Louisville,69,6
2007,2,Virginia,74,4,Tennessee,77,5
2007,3,Florida,65,1,Butler,57,5
2007,3,UNLV,72,7,Oregon,76,3
2007,3,Kansas,61,1,Southern Illinois,58,4
2007,3,UCLA,64,2,Pittsburgh,55,3
2007,3,North Carolina,74,1,USC,64,5
2007,3,Georgetown,66,2,Vanderbilt,65,6
2007,3,Ohio St,85,1,Tennessee,84,5
2007,3,Memphis,65,2,Texas A&M,64,3
2007,4,Florida,85,1,Oregon,77,3
2007,4,Kansas,55,1,UCLA,68,2
2007,4,North Carolina,84,1,Georgetown,96,2
2007,4,Ohio St,92,1,Memphis,76,2
2007,5,Florida,76,1,UCLA,66,2
2007,5,Georgetown,60,2,Ohio St,67,1
2007,6,Florida,84,1,Ohio St,75,1
2008,1,North Carolina,113,1,Mount St Marys,74,16
2008,1,Tennessee,72,2,American,57,15
2008,1,Louisville,79,3,Boise St,61,14
2008,1,Washington St,71,4,Winthrop,40,13
2008,1,Notre Dame,68,5,George Mason,50,12
2008,1,Oklahoma,72,6,St Josephs,64,11
2008,1,Butler,81,7,South Alabama,61,10
2008,1,Indiana,72,8,Arkansas,86,9
2008,1,Kansas,85,1,Portland St,61,16
2008,1,Georgetown,66,2,UMBC,47,15
2008,1,Wisconsin,71,3,Cal St Fullerton,56,14
2008,1,Vanderbilt,62,4,Siena,83,13
2008,1,Clemson,69,5,Villanova,75,12
2008,1,USC,67,6,Kansas St,80,11
2008,1,Gonzaga,76,7,Davidson,82,10
2008,1,UNLV,71,8,Kent St,58,9
2008,1,Memphis,87,1,Texas Arlington,63,16
2008,1,Texas,74,2,Austin Peay,54,15
2008,1,Stanford,77,3,Cornell,53,14
2008,1,Pittsburgh,82,4,Oral Roberts,63,13
2008,1,Michigan St,72,5,Temple,61,12
2008,1,Marquette,74,6,Kentucky,66,11
2008,1,Miami,78,7,St Marys,64,10
2008,1,Mississippi St,76,8,Oregon,69,9
2008,1,UCLA,70,1,Mississippi Valley St,29,16
2008,1,Duke,71,2,Belmont,70,15
2008,1,Xavier,73,3,Georgia,61,14
2008,1,Connecticut,69,4,San Diego,70,13
2008,1,Drake,99,5,Western Kentucky,101,12
2008,1,Purdue,90,6,Baylor,79,11
2008,1,West Virginia,75,7,Arizona,65,10
2008,1,BYU,62,8,Texas A&M,67,9
2008,2,North Carolina,108,1,Arkansas,77,9
2008,2,Tennessee,76,2,Butler,71,7
2008,2,Louisville,78,3,Oklahoma,48,6
2008,2,Washington St,61,4,Notre Dame,41,5
2008,2,Kansas,75,1,UNLV,56,8
2008,2,Georgetown,70,2,Davidson,74,10
2008,2,Wisconsin,72,3,Kansas St,55,11
2008,2,Siena,72,13,Villanova,84,12
2008,2,Memphis,77,1,Mississippi St,74,8
2008,2,Texas,75,2,Miami,72,7
2008,2,Stanford,82,3,Marquette,81,6
2008,2,Pittsburgh,54,4,Michigan St,65,5
2008,2,UCLA,51,1,Texas A&M,49,9
2008,2,Duke,67,2,West Virginia,73,7
2008,2,Xavier,85,3,Purdue,78,6
2008,2,San Diego,63,13,Western Kentucky,72,12
2008,3,North Carolina,68,1,Washington St,47,4
2008,3,Tennessee,60,2,Louisville,79,3
2008,3,Kansas,72,1,Villanova,57,12
2008,3,Davidson,73,10,Wisconsin,56,3
2008,3,Memphis,92,1,Michigan St,74,5
2008,3,Texas,82,2,Stanford,62,3
2008,3,UCLA,88,1,Western Kentucky,78,12
2008,3,West Virginia,75,7,Xavier,79,3
2008,4,North Carolina,83,1,Louisville,73,3
2008,4,Kansas,59,1,Davidson,57,10
2008,4,Memphis,85,1,Texas,67,2
2008,4,UCLA,76,1,Xavier,57,3
2008,5,North Carolina,66,1,Kansas,84,1
2008,5,Memphis,78,1,UCLA,63,1
2008,6,Kansas,75,1,Memphis,68,1
2009,1,Louisville,74,1,Morehead St,54,16
2009,1,Michigan St,77,2,Robert Morris,62,15
2009,1,Kansas,84,3,North Dakota St,74,14
2009,1,Wake Forest,69,4,Cleveland St,84,13
2009,1,Utah,71,5,Arizona,84,12
2009,1,West Virginia,60,6,Dayton,68,11
2009,1,Boston College,55,7,USC,72,10
2009,1,Ohio St,72,8,Siena,74,9
2009,1,Connecticut,103,1,Chattanooga,47,16
2009,1,Memphis,81,2,Cal St Northridge,70,15
2009,1,Missouri,78,3,Cornell,59,14
2009,1,Washington,71,4,Mississippi St,58,13
2009,1,Purdue,61,5,Northern Iowa,56,12
2009,1,Marquette,58,6,Utah St,57,11
2009,1,California,71,7,Maryland,84,10
2009,1,BYU,66,8,Texas A&M,79,9
2009,1,Pittsburgh,72,1,East Tennessee St,62,16
2009,1,Duke,85,2,Binghamton,62,15
2009,1,Villanova,80,3,American,67,14
2009,1,Xavier,77,4,Portland St,59,13
2009,1,Florida St,59,5,Wisconsin,61,12
2009,1,UCLA,65,6,VCU,64,11
2009,1,Texas,76,7,Minnesota,62,10
2009,1,Oklahoma St,77,8,Tennessee,75,9
2009,1,North Carolina,101,1,Radford,58,16
2009,1,Oklahoma,82,2,Morgan St,54,15
2009,1,Syracuse,59,3,Stephen F Austin,44,14
2009,1,Gonzaga,77,4,Akron,64,13
2009,1,Illinois,72,5,Western Kentucky,76,12
2009,1,Arizona St,66,6,Temple,57,11
2009,1,Clemson,59,7,Michigan,62,10
2009,1,LSU,75,8,Butler,71,9
2009,2,Louisville,79,1,Siena,72,9
2009,2,Michigan St,74,2,USC,69,10
2009,2,Kansas,60,3,Dayton,43,11
2009,2,Cleveland St,57,13,Arizona,71,12
2009,2,Connecticut,92,1,Texas A&M,66,9
2009,2,Memphis,89,2,Maryland,70,10
2009,2,Missouri,83,3,Marquette,79,6
2009,2,Washington,74,4,Purdue,76,5
2009,2,Pittsburgh,84,1,Oklahoma St,76,8
2009,2,Duke,74,2,Texas,69,7
2009,2,Villanova,89,3,UCLA,69,6
2009,2,Xavier,60,4,Wisconsin,49,12
2009,2,North Carolina,84,1,LSU,70,8
2009,2,Oklahoma,73,2,Michigan,63,10
2009,2,Syracuse,78,3,Arizona St,67,6
2009,2,Gonzaga,83,4,Western Kentucky,81,12
2009,3,Louisville,103,1,Arizona,64,12
2009,3,Michigan St,67,2,Kansas,62,3
2009,3,Connecticut,72,1,Purdue,60,5
2009,3,Memphis,91,2,Missouri,102,3
2009,3,Pittsburgh,60,1,Xavier,55,4
2009,3,Duke,54,2,Villanova,77,3
2009,3,North Carolina,98,1,Gonzaga,77,4
2009,3,Oklahoma,84,2,Syracuse,71,3
2009,4,Louisville,52,1,Michigan St,64,2
2009,4,Connecticut,82,1,Missouri,75,3
2009,4,Pittsburgh,76,1,Villanova,78,3
2009,4,North Carolina,72,1,Oklahoma,60,2
2009,5,Michigan St,82,2,Connecticut,73,1
2009,5,Villanova,69,3,North Carolina,83,1
2009,6,Michigan St,72,2,North Carolina,89,1
2010,1,Kansas,90,1,Lehigh,74,16
2010,1,Ohio St,68,2,Santa Barbara,51,15
2010,1,Georgetown,83,3,Ohio,97,14
2010,1,Maryland,89,4,Houston,77,13
2010,1,Michigan St,70,5,New Mexico St,67,12
2010,1,Tennessee,62,6,San Diego St,59,11
2010,1,Oklahoma St,59,7,Georgia Tech,64,10
2010,1,UNLV,66,8,Northern Iowa,69,9
2010,1,Syracuse,79,1,Vermont,56,16
2010,1,Kansas St,82,2,North Texas,62,15
2010,1,Pittsburgh,89,3,Oakland,66,14
2010,1,Vanderbilt,65,4,Murray St,66,13
2010,1,Butler,77,5,UTEP,59,12
2010,1,Xavier,65,6,Minnesota,54,11
2010,1,BYU,99,7,Florida,92,10
2010,1,Gonzaga,67,8,Florida St,60,9
2010,1,Kentucky,100,1,East Tennessee St,71,16
2010,1,West Virginia,77,2,Morgan St,50,15
2010,1,New Mexico,62,3,Montana,57,14
2010,1,Wisconsin,53,4,Wofford,49,13
2010,1,Temple,65,5,Cornell,78,12
2010,1,Marquette,78,6,Washington,80,11
2010,1,Clemson,78,7,Missouri,86,10
2010,1,Texas,80,8,Wake Forest,81,9
2010,1,Duke,73,1,Arkansas Pine Bluff,44,16
2010,1,Villanova,73,2,Robert Morris,70,15
2010,1,Baylor,68,3,Sam Houston St,59,14
2010,1,Purdue,72,4,Siena,64,13
2010,1,Texas A&M,69,5,Utah St,53,12
2010,1,Notre Dame,50,6,Old Dominion,51,11
2010,1,Richmond,71,7,St Marys,80,10
2010,1,California,77,8,Louisville,62,9
2010,2,Kansas,67,1,Northern Iowa,69,9
2010,2,Ohio St,75,2,Georgia Tech,66,10
2010,2,Ohio,68,14,Tennessee,83,6
2010,2,Maryland,83,4,Michigan St,85,5
2010,2,Syracuse,87,1,Gonzaga,65,8
2010,2,Kansas St,84,2,BYU,72,7
2010,2,Pittsburgh,68,3,Xavier,71,6
2010,2,Murray St,52,13,Butler,54,5
2010,2,Kentucky,90,1,Wake Forest,60,9
2010,2,West Virginia,68,2,Missouri,59,10
2010,2,New Mexico,64,3,Washington,82,11
2010,2,Wisconsin,69,4,Cornell,87,12
2010,2,Duke,68,1,California,53,8
2010,2,Villanova,68,2,St Marys,75,10
2010,2,Baylor,76,3,Old Dominion,68,11
2010,2,Purdue,63,4,Texas A&M,61,5
2010,3,Northern Iowa,52,9,Michigan St,59,5
2010,3,Ohio St,73,2,Tennessee,76,6
2010,3,Syracuse,59,1,Butler,63,5
2010,3,Kansas St,101,2,Xavier,96,6
2010,3,Kentucky,62,1,Cornell,45,12
2010,3,West Virginia,69,2,Washington,56,11
2010,3,Duke,70,1,Purdue,57,4
2010,3,St Marys,49,10,Baylor,72,3
2010,4,Michigan St,70,5,Tennessee,69,6
2010,4,Butler,63,5,Kansas St,56,2
2010,4,Kentucky,66,1,West Virginia,73,2
2010,4,Duke,78,1,Baylor,71,3
2010,5,Michigan St,50,5,Butler,52,5
2010,5,West Virginia,57,2,Duke,78,1
2010,6,Butler,59,5,Duke,61,1
2011,1,Ohio St,75,1,Texas San Antonio,46,16
2011,1,North Carolina,102,2,Long Island Brooklyn,87,15
2011,1,Syracuse,77,3,Indiana St,60,14
2011,1,Kentucky,59,4,Princeton,57,13
2011,1,West Virginia,84,5,Clemson,78,12
2011,1,Xavier,55,6,Marquette,66,11
2011,1,Washington,68,7,Georgia,65,10
2011,1,George Mason,61,8,Villanova,57,9
2011,1,Duke,87,1,Hampton,45,16
2011,1,San Diego St,68,2,Northern Colorado,50,15
2011,1,Connecticut,81,3,Bucknell,52,14
2011,1,Texas,85,4,Oakland,81,13
2011,1,Arizona,77,5,Memphis,75,12
2011,1,Cincinnati,78,6,Missouri,63,11
2011,1,Temple,66,7,Penn St,64,10
2011,1,Michigan,75,8,Tennessee,45,9
2011,1,Kansas,72,1,Boston University,53,16
2011,1,Notre Dame,69,2,Akron,56,15
2011,1,Purdue,65,3,St Peters,43,14
2011,1,Louisville,61,4,Morehead St,62,13
2011,1,Vanderbilt,66,5,Richmond,69,12
2011,1,Georgetown,56,6,VCU,74,11
2011,1,Texas A&M,50,7,Florida St,57,10
2011,1,UNLV,62,8,Illinois,73,9
2011,1,Pittsburgh,74,1,UNC Asheville,51,16
2011,1,Florida,79,2,Santa Barbara,51,15
2011,1,BYU,74,3,Wofford,66,14
2011,1,Wisconsin,72,4,Belmont,58,13
2011,1,Kansas St,73,5,Utah St,68,12
2011,1,St Johns,71,6,Gonzaga,86,11
2011,1,UCLA,78,7,Michigan St,76,10
2011,1,Butler,60,8,Old Dominion,58,9
2011,2,Ohio St,98,1,George Mason,66,8
2011,2,North Carolina,86,2,Washington,83,7
2011,2,Syracuse,62,3,Marquette,66,11
2011,2,Kentucky,71,4,West Virginia,63,5
2011,2,Duke,73,1,Michigan,71,8
2011,2,San Diego St,71,2,Temple,64,7
2011,2,Connecticut,69,3,Cincinnati,58,6
2011,2,Texas,69,4,Arizona,70,5
2011,2,Kansas,73,1,Illinois,59,9
2011,2,Notre Dame,57,2,Florida St,71,10
2011,2,Purdue,76,3,VCU,94,11
2011,2,Morehead St,48,13,Richmond,65,12
2011,2,Pittsburgh,70,1,Butler,71,8
2011,2,Florida,73,2,UCLA,65,7
2011,2,BYU,89,3,Gonzaga,67,11
2011,2,Wisconsin,70,4,Kansas St,65,5
2011,3,Ohio St,60,1,Kentucky,62,4
2011,3,North Carolina,81,2,Marquette,63,11
2011,3,Duke,77,1,Arizona,93,5
2011,3,San Diego St,67,2,Connecticut,74,3
2011,3,Kansas,77,1,Richmond,57,12
2011,3,Florida St,71,10,VCU,72,11
2011,3,Butler,61,8,Wisconsin,54,4
2011,3,Florida,83,2,BYU,74,3
2011,4,Kentucky,76,4,North Carolina,69,2
2011,4,Arizona,63,5,Connecticut,65,3
2011,4,Kansas,61,1,VCU,71,11
2011,4,Butler,74,8,Florida,71,2
2011,5,Kentucky,55,4,Connecticut,56,3
2011,5,VCU,62,11,Butler,70,8
2011,6,Connecticut,53,3,Butler,41,8
2012,1,Kentucky,81,1,Western Kentucky,66,16
2012,1,Duke,70,2,Lehigh,75,15
